path,key,dtype,example_value,is_github_api_url,fetch_status,error_message,depth
events_url.__api__[25],[25],dict,"{'id': '8053560157', 'type': 'PullRequestEvent', 'actor': {'id': 8078968, 'login': 'jbrockmendel', 'display_login': 'jbr",False,,,1
events_url.__api__[26],[26],dict,"{'id': '8053558159', 'type': 'PullRequestEvent', 'actor': {'id': 10647082, 'login': 'mroeschke', 'display_login': 'mroes",False,,,1
events_url.__api__[27],[27],dict,"{'id': '8053558157', 'type': 'PullRequestEvent', 'actor': {'id': 10647082, 'login': 'mroeschke', 'display_login': 'mroes",False,,,1
events_url.__api__[28],[28],dict,"{'id': '8053558154', 'type': 'PullRequestEvent', 'actor': {'id': 10647082, 'login': 'mroeschke', 'display_login': 'mroes",False,,,1
events_url.__api__[29],[29],dict,"{'id': '8053554745', 'type': 'PullRequestReviewEvent', 'actor': {'id': 10647082, 'login': 'mroeschke', 'display_login': ",False,,,1
issue_events_url,issue_events_url,str,https://api.github.com/repos/pandas-dev/pandas/issues/events{/number},True,,,0
comments_url,comments_url,str,https://api.github.com/repos/pandas-dev/pandas/comments{/number},True,,,0
labels_url,labels_url,str,https://api.github.com/repos/pandas-dev/pandas/labels{/name},True,,,0
milestones_url,milestones_url,str,https://api.github.com/repos/pandas-dev/pandas/milestones{/number},True,,,0
deployments_url,deployments_url,str,https://api.github.com/repos/pandas-dev/pandas/deployments,True,,,0
deployments_url.__api_fetch__,__api_fetch__,list,https://api.github.com/repos/pandas-dev/pandas/deployments,True,success,,0
deployments_url.__api__[0],[0],dict,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/deployments/4226023266', 'id': 4226023266, 'node_id': 'DE_kwDOAA",False,,,1
deployments_url.__api__[1],[1],dict,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/deployments/3863219876', 'id': 3863219876, 'node_id': 'DE_kwDOAA",False,,,1
deployments_url.__api__[2],[2],dict,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/deployments/3674121128', 'id': 3674121128, 'node_id': 'DE_kwDOAA",False,,,1
deployments_url.__api__[3],[3],dict,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/deployments/3633095155', 'id': 3633095155, 'node_id': 'DE_kwDOAA",False,,,1
deployments_url.__api__[4],[4],dict,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/deployments/3509767326', 'id': 3509767326, 'node_id': 'DE_kwDOAA",False,,,1
deployments_url.__api__[5],[5],dict,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/deployments/3509675839', 'id': 3509675839, 'node_id': 'DE_kwDOAA",False,,,1
deployments_url.__api__[6],[6],dict,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/deployments/3414259952', 'id': 3414259952, 'node_id': 'DE_kwDOAA",False,,,1
deployments_url.__api__[7],[7],dict,"{'url': 'https://api.github.com/repos/pandas-dev/pandas/deployments/3005895162', 'id': 3005895162, 'node_id': 'DE_kwDOAA",False,,,1
stargazers_url,stargazers_url,str,https://api.github.com/repos/pandas-dev/pandas/stargazers,True,,,0
stargazers_url.__api_fetch__,__api_fetch__,list,https://api.github.com/repos/pandas-dev/pandas/stargazers,True,success,,0
